id,index,diff,type,claim/issue,correctness (1/0/-1),additional claims,old_file,new_file
5472,349,"@@ -45,6 +45,7 @@ program
   .option('-C <build_dir>', 'build config (out/Debug, out/Release')
   .option('--target_arch <target_arch>', 'target architecture', 'x64')
   .option('--mac_signing_identifier <id>', 'The identifier to use for signing')
+  .option('--mac_installer_signing_identifier <id>', 'The identifier to use for signing the installer')
   .option('--mac_signing_keychain <keychain>', 'The identifier to use for signing', 'login')
   .option('--debug_build <debug_build>', 'keep debugging symbols')
   .option('--official_build <official_build>', 'force official build settings')",claim,The code change adds a new option to the command line interface,,,test349_old.js,test349_new.js
,,,claim,The new option is '--mac_installer_signing_identifier <id>',,,,
,,,claim,This option is used to specify the identifier to use for signing the installer.,,,,
11992,8988,"@@ -3,9 +3,9 @@ import { h } from './h';
 
 /**
  * Clones the given VNode, optionally adding attributes/props and replacing its children.
- * @param {VNode} vnode		The virtual DOM element to clone
- * @param {Object} props	Attributes/props to add when cloning
- * @param {VNode} rest		Any additional arguments will be used as replacement children.
+ * @param {import('./vnode').VNode} vnode The virtual DOM element to clone
+ * @param {object} props Attributes/props to add when cloning
+ * @param {Array<import('./vnode').VNode>} [rest] Any additional arguments will be used as replacement children.
  */
 export function cloneElement(vnode, props) {
 	return h(",claim,"The code changes in the GIT DIFF are related to the documentation comments for the function ""cloneElement""",,,test8988_old.js,test8988_new.js
,,,claim,"The type of the ""vnode"" parameter is now explicitly imported from './vnode'",,,,
,,,claim,"The ""props"" parameter is now an object instead of a VNode",,,,
,,,claim,"The ""rest"" parameter is now an array of VNodes, with the square brackets indicating that it is optional",,,,
,,,claim,This change makes the code more robust and explicit about its type requirements.,,,,
,,,issue,"line 10, col 1, 'export' is only available in ES6 (use 'esversion: 6').",,,,
12790,3422,"@@ -87,8 +87,11 @@ export function useReducer(reducer, initialState, init) {
 			init == null ? invokeOrReturn(null, initialState) : init(initialState),
 
 			action => {
-				hookState._value[0] = reducer(hookState._value[0], action);
-				hookState._component.setState({});
+				const nextValue = reducer(hookState._value[0], action);
+				if (!Object.is(hookState._value[0], nextValue)) {
+					hookState._value[0] = nextValue;
+					hookState._component.setState({});
+				}
 			}
 		];
 	}",claim,The code change in the GIT DIFF modifies the way the state is updated in the hook,,,test3422_old.js,test3422_new.js
,,,claim,"Previously, the state was directly updated by calling the reducer function and then setting the component state",,,,
,,,claim,"The new code calculates the next state value by calling the reducer function with the current state and the action, and then checks if the next state value is different from the current state value",,,,
,,,claim,"If it is, the state is updated and the component state is set",,,,
,,,claim,"This change adds a check to see if the state has changed before updating it, which can help prevent unnecessary re-renders.",,,,
,,,issue,"line 89, col 20, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 90, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
16303,4298,"@@ -27,7 +27,12 @@ function collectResultsFromFrames(
   frames.forEach(frame => {
     const tabindex = parseInt(frame.node.getAttribute('tabindex'), 10);
     const focusable = isNaN(tabindex) || tabindex >= 0;
+
     const rect = frame.node.getBoundingClientRect();
+    let width = parseInt(frame.node.getAttribute('width'), 10);
+    let height = parseInt(frame.node.getAttribute('height'), 10);
+    width = isNaN(width) ? rect.width : width;
+    height = isNaN(height) ? rect.height : height;
 
     var params = {
       options: options,",claim,The code changes added four new lines,,,test4298_old.js,test4298_new.js
,,,claim,These lines are extracting the width and height attributes from the frame node and parsing them into integers,,,,
,,,claim,"If the width or height is not a number (NaN), they are set to the width or height of the bounding client rectangle, respectively",,,,
,,,claim,This ensures that the width and height are always valid numbers.,,,,
,,,issue,"line 27, col 24, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 28, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 29, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 31, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 32, col 5, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 33, col 5, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
12633,2886,"@@ -31,6 +31,10 @@ msg.Number = {};
 msg.Number.min = ""Path `{PATH}` ({VALUE}) is less than minimum allowed value ({MIN})."";
 msg.Number.max = ""Path `{PATH}` ({VALUE}) is more than maximum allowed value ({MAX})."";
 
+msg.Date = {};
+msg.Date.min = ""Path `{PATH}` ({VALUE}) is before than minimum allowed value ({MIN})."";
+msg.Date.max = ""Path `{PATH}` ({VALUE}) is after than maximum allowed value ({MAX})."";
+
 msg.String = {};
 msg.String.enum = ""`{VALUE}` is not a valid enum value for path `{PATH}`."";
 msg.String.match = ""Path `{PATH}` is invalid ({VALUE})."";",claim,"The code changes added a new block of code that defines a new message object ""Date""",,,test2886_old.js,test2886_new.js
,,,claim,"This object has two properties, ""min"" and ""max"", which are used to handle minimum and maximum date validation errors respectively",,,,
,,,claim,The error messages for these validations are also defined in the added lines.,,,,
15124,721,"@@ -1,4 +1,6 @@
-var nn = node.nodeName.toLowerCase();
-return (
-	node.hasAttribute('alt') && (nn === 'img' || nn === 'input' || nn === 'area')
-);
+const { nodeName } = virtualNode.props;
+if (['img', 'input', 'area'].includes(nodeName) === false) {
+	return false;
+}
+
+return typeof virtualNode.attr('alt') === 'string';",claim,The code change represented by the GIT DIFF replaces a block of code with a new block of code,,,test721_old.js,test721_new.js
,,,claim,"The new code extracts the 'nodeName' from the 'virtualNode.props' and checks if it is not included in the array ['img', 'input', 'area']",,,,
,,,claim,"If it is not included, the function returns false",,,,
,,,claim,"If the 'nodeName' is included, the function then checks if the 'alt' attribute of the 'virtualNode' is a string and returns the result",,,,
,,,claim,This change makes the code more concise and easier to read.,,,,
,,,issue,"line 1, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 1, col 1, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
8188,2290,"@@ -113,7 +113,9 @@ class CapacitorSplashScreen {
     `;
 
     this.mainWindowRef.on('closed', () => {
-      this.splashWindow.close();
+      if (this.splashWindow && !this.splashWindow.isDestroyed) { 
+        this.splashWindow.close(); 
+      }
     });
 
     this.splashWindow.loadURL(`data:text/html;charset=UTF-8,${splashHtml}`, {baseURLForDataURL: `file://${rootPath}/splash_assets/`});",claim,The code change in the GIT DIFF adds a conditional check before closing the splash window,,,test2290_old.js,test2290_new.js
,,,claim,The check ensures that the splash window exists and has not been destroyed before attempting to close it,,,,
,,,claim,This is to prevent potential null reference errors.,,,,
,,,issue,"line 115, col 38, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 121, col 31, 'template literal syntax' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 121, col 97, 'template literal syntax' is only available in ES6 (use 'esversion: 6').",,,,
10735,6199,"@@ -5,8 +5,7 @@ import { enqueueRender } from '../render-queue';
 import { getNodeProps } from './index';
 import { diff, mounts, diffLevel, flushMounts, recollectNodeTree, removeChildren } from './diff';
 import { createComponent, collectComponent } from './component-recycler';
-
-
+import remove from './remove';
 
 /** Set a component's `props` (generally derived from JSX attributes).
  *	@param {Object} props",claim,The code change represented by the GIT DIFF adds a new line of code to import the 'remove' module from './remove',,,test6199_old.js,test6199_new.js
,,,claim,This suggests that the 'remove' module will be used later in the code.,,,,
,,,issue,"line 5, col 1, 'import' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 6, col 1, 'import' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 7, col 1, 'import' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 8, col 1, 'import' is only available in ES6 (use 'esversion: 6').",,,,
11085,9725,"@@ -26,6 +26,18 @@ describe ""Selenium::WebDriver::TargetLocator"" do
     end
   end
 
+  it ""should switch to parent frame"" do
+    driver.navigate.to url_for(""iframes.html"")
+
+    iframe = driver.find_element(:tag_name => ""iframe"")
+    driver.switch_to.frame(iframe)
+
+    driver.find_element(:name, 'login').should be_kind_of(WebDriver::Element)
+
+    driver.switch_to.parent_frame
+    driver.find_element(:id, 'iframe_page_heading').should be_kind_of(WebDriver::Element)
+  end
+
   # switching by name not yet supported by safari
   not_compliant_on :browser => [:ie, :iphone, :safari] do
     it ""should switch to a window and back when given a block"" do",claim,The GIT DIFF shows that a new test case has been added to the code,,,test9725_old.js,test9725_new.js
,,,claim,"This test case is titled ""should switch to parent frame""",,,,
,,,claim,"The test case navigates to the ""iframes.html"" page, finds an iframe element, switches to the iframe, and then checks if an element with the name 'login' exists",,,,
,,,claim,It then switches back to the parent frame and checks if an element with the id 'iframe_page_heading' exists,,,,
,,,claim,This test case ensures that the driver can switch between frames and find elements in both the parent and child frames.,,,,
18051,8007,"@@ -36,6 +36,11 @@ function writeCommand(server, type, opsField, ns, ops, options, callback) {
     writeCommand.bypassDocumentValidation = options.bypassDocumentValidation;
   }
 
+  if (writeConcern.w === 0) {
+    // don't include session for unacknowledged writes
+    delete options.session;
+  }
+
   const commandOptions = Object.assign(
     {
       checkKeys: type === 'insert',",claim,The code change adds a new conditional block that checks if the write concern (writeConcern) for the current operation is set to 0,,,test8007_old.js,test8007_new.js
,,,claim,"If it is, the session option is removed from the options object",,,,
,,,claim,This suggests that the session is not needed for unacknowledged writes.,,,,
,,,issue,"line 44, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
15319,3406,"@@ -25,7 +25,11 @@ const isPromiseLike = require('../utils').isPromiseLike;
 function addToOperationsList(bulkOperation, docType, document) {
   // Get the bsonSize
   const bsonSize = bson.calculateObjectSize(document, {
-    checkKeys: false
+    checkKeys: false,
+
+    // Since we don't know what the user selected for BSON options here,
+    // err on the safe side, and check the size with ignoreUndefined: false.
+    ignoreUndefined: false
   });
 
   // Throw error if the doc is bigger than the max BSON size",claim,"The code change in the GIT DIFF adds a comment explaining that the user may not have selected specific BSON options, so it is safer to err on the side of checking the size of the document with ""ignoreUndefined: false""",,,test3406_old.js,test3406_new.js
,,,claim,"The line of code that sets the ""checkKeys"" option to false remains unchanged.",,,,
,,,issue,"line 27, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
12883,2307,"@@ -87,11 +87,11 @@ export function diff(dom, parentDom, newVNode, oldVNode, context, isSvg, excessD
 			c._vnode = newVNode;
 
 			// Invoke getDerivedStateFromProps
-			let s = c._nextState || c.state;
+			if (c._nextState==null) {
+				c._nextState = c.state;
+			}
 			if (newType.getDerivedStateFromProps!=null) {
-				oldState = assign({}, c.state);
-				if (s===c.state) s = c._nextState = assign({}, s);
-				assign(s, newType.getDerivedStateFromProps(newVNode.props, s));
+				assign(c._nextState==c.state ? (c._nextState = assign({}, c._nextState)) : c._nextState, newType.getDerivedStateFromProps(newVNode.props, c._nextState));
 			}
 
 			// Invoke pre-render lifecycle methods",claim,The code changes in the GIT DIFF remove a block of code that was setting up the state for the derived state from props,,,test2307_old.js,test2307_new.js
,,,claim,The removed code was setting up a variable 's' to either the '_nextState' or 'state' of the component 'c',,,,
,,,claim,It then checked if 's' was equal to the 'state' of the component 'c',,,,
,,,claim,"If it was, it would assign a new object to '_nextState'",,,,
,,,claim,The removed code then assigned the result of 'getDerivedStateFromProps' to 's',,,,
,,,claim,,,,,
,,,claim,The new code instead checks if '_nextState' is null,,,,
,,,claim,"If it is, it assigns the 'state' of the component 'c' to '_nextState'",,,,
,,,claim,The new,,,,
8812,7290,"@@ -1076,9 +1076,14 @@ Blockly.WorkspaceSvg.prototype.deleteVariableById = function(id) {
  * @package
  */
 Blockly.WorkspaceSvg.prototype.createVariable = function(name, opt_type, opt_id) {
+  var variableInMap = (this.getVariable(name) != null);
   var newVar = Blockly.WorkspaceSvg.superClass_.createVariable.call(this, name,
     opt_type, opt_id);
-  this.refreshToolboxSelection_();
+  // For performance reaons, only refresh the the toolbox for new variables.
+  // Variables that already exist should already be there.
+  if (!variableInMap) {
+    this.refreshToolboxSelection_();
+  }
   return newVar;
 };
 ",claim,The code change in the GIT DIFF adds a new block of code that checks if a variable already exists in the map,,,test7290_old.js,test7290_new.js
,,,claim,"If it does not, it refreshes the toolbox selection",,,,
,,,claim,"This is done for performance reasons, as refreshing the toolbox for existing variables would be unnecessary",,,,
,,,claim,The comment above the added code explains this new logic.,,,,
,,,issue,"line 1078, col 1, 'Blockly' is not defined.",,,,
,,,issue,"line 1080, col 16, 'Blockly' is not defined.",,,,
11960,5474,"@@ -70,3 +70,18 @@ dom.isNativelyFocusable = function(el) {
 	}
 	return false;
 };
+
+/**
+ * Determines if an element is in the focus order, but would not be if its
+ * tabindex were unspecified.
+ * @method insertedIntoFocusOrder
+ * @memberof axe.commons.dom
+ * @instance
+ * @param {HTMLElement} el The HTMLElement
+ * @return {Boolean} True if the element is in the focus order but wouldn't be
+ * if its tabindex were removed. Else, false.
+ */
+dom.insertedIntoFocusOrder = function(el) {
+	return (el.tabIndex > -1 && dom.isFocusable(el) &&
+			!dom.isNativelyFocusable(el));
+};",claim,"The GIT DIFF shows that a new function named ""insertedIntoFocusOrder"" has been added to the ""axe.commons.dom"" object",,,test5474_old.js,test5474_new.js
,,,claim,This function takes an HTMLElement as a parameter and returns a boolean value,,,,
,,,claim,"The function checks if the element's tabIndex is greater than -1, if the element is focusable, and if the element is not natively focusable",,,,
,,,claim,"If all these conditions are met, the function returns true, indicating that the element is in the focus order but would not be if its tabindex were unspecified",,,,
,,,claim,"If any of these conditions is not met, the function returns false.",,,,
14145,4235,"@@ -273,6 +273,7 @@ var testFiles = [
   , '/test/functional/byo_promises_tests.js'
 
   // Functionality tests
+  , '/test/functional/dns_txt_records_tests.js'
   , '/test/functional/mongo_client_tests.js'
   , '/test/functional/collection_tests.js'
   , '/test/functional/db_tests.js'",claim,The code change adds a new line to the list of test files,,,test4235_old.js,test4235_new.js
,,,claim,The new line adds the path '/test/functional/dns_txt_records_tests.js' to the list,,,,
,,,claim,This indicates that a new test file for DNS TXT records has been added.,,,,
,,,issue,"line 273, col 5, Misleading line break before ','; readers may interpret this as an expression boundary.",,,,
,,,issue,"line 276, col 5, Misleading line break before ','; readers may interpret this as an expression boundary.",,,,
,,,issue,"line 277, col 5, Misleading line break before ','; readers may interpret this as an expression boundary.",,,,
,,,issue,"line 278, col 5, Misleading line break before ','; readers may interpret this as an expression boundary.",,,,
,,,issue,"line 279, col 5, Misleading line break before ','; readers may interpret this as an expression boundary.",,,,
12215,9770,"@@ -14,7 +14,13 @@ class Tag extends BaseItem {
 	}
 
 	static async noteIds(tagId) {
-		const rows = await this.db().selectAll('SELECT note_id FROM note_tags WHERE tag_id = ?', [tagId]);
+		// Get NoteIds of that are tagged with current tag or its descendants
+		const rows = await this.db().selectAll(`WITH RECURSIVE
+												parent_of(id, child_id) AS 
+												(SELECT id, id FROM tags where id=?
+												UNION ALL
+												SELECT parent_of.id, tags2.id FROM parent_of JOIN tags AS tags2 ON parent_of.child_id=tags2.parent_id)
+												SELECT note_id FROM note_tags WHERE tag_id IN (SELECT child_id from parent_of)`, [tagId]);
 		const output = [];
 		for (let i = 0; i < rows.length; i++) {
 			output.push(rows[i].note_id);",claim,The code change in the GIT DIFF replaces an existing line of code,,,test9770_old.js,test9770_new.js
,,,claim,The replaced line of code now uses a recursive query to select all note_ids that are tagged with the current tag or its descendants,,,,
,,,claim,"The new query is more complex and uses a WITH RECURSIVE clause to define a recursive common table expression (CTE) named ""parent_of""",,,,
,,,claim,"The CTE is then used to select note_ids where the tag_id is in the child_id of the ""parent_of"" CTE",,,,
,,,claim,This change suggests that the code is now capable of handling a more complex and dynamic tagging system.,,,,
,,,issue,"line 16, col 12, 'async functions' is only available in ES8 (use 'esversion: 8').",,,,
,,,issue,"line 18, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 18, col 48, 'template literal syntax' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 24, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 25, col 14, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
15736,7059,"@@ -490,6 +490,18 @@ class Builder {
     return this;
   }
 
+  /**
+   * Sets the {@link ie.ServiceBuilder} to use to manage the geckodriver
+   * child process when creating IE sessions locally.
+   *
+   * @param {ie.ServiceBuilder} service the service to use.
+   * @return {!Builder} a self reference.
+   */
+  setIeService(service) {
+    this.ieService_ = service;
+    return this;
+  }
+
   /**
    * Set {@linkplain edge.Options options} specific to Microsoft's Edge browser
    * for drivers created by this builder. Any proxy settings defined on the",claim,"The GIT DIFF shows that a new method named ""setIeService"" has been added to the ""Builder"" class",,,test7059_old.js,test7059_new.js
,,,claim,"This method takes a parameter ""service"" of type ""ie.ServiceBuilder"" and sets the ""ieService_"" property of the class to the provided service",,,,
,,,claim,"The method also returns a self reference to the class, allowing for method chaining",,,,
,,,claim,This new method is documented with a comment block that explains its purpose and usage.,,,,
17220,4907,"@@ -206,7 +206,6 @@ describe('Configure Options', function() {
       iframe.src = '/test/mock/frames/context.html';
       iframe.onload = function() {
         axe.configure(config);
-        iframe.contentWindow.axe.configure(config);
 
         axe.run(
           '#target',",claim,The code change represented by the GIT DIFF removes a line of code that was previously configuring the axe accessibility testing library within the content window of an iframe,,,test4907_old.js,test4907_new.js
,,,claim,"This suggests that the accessibility testing library is now being configured directly on the axe object, rather than within the iframe's content window.",,,,
15369,1525,"@@ -1,7 +1,7 @@
 'use strict';
 
 const Aspect = {
-  SKIP_SESSION: Symbol('SKIP_SESSION')
+  SKIP_SESSION: 'SKIP_SESSION'
 };
 
 /**",claim,The code change in the GIT DIFF modifies the value of the SKIP_SESSION constant from a Symbol to a string,,,test1525_old.js,test1525_new.js
,,,claim,"This change does not affect the functionality of the code, but it may be done for style consistency or to adhere to a specific coding standard.",,,,
,,,issue,"line 1, col 1, Use the function form of ""use strict"".",,,,
,,,issue,"line 3, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
6073,2863,"@@ -7,6 +7,12 @@ const createDist = (buildConfig = config.defaultBuildConfig, options) => {
   config.buildConfig = buildConfig
   config.update(options)
 
+  if (config.notarize) {
+    notarize = config.notarize
+    notary_user = config.notary_user
+    notary_password = config.notary_password
+  }
+
   util.updateBranding()
   fs.removeSync(path.join(config.outputDir, 'dist'))
   config.buildTarget = 'create_dist'",claim,"The code change adds a new conditional block that checks if the configuration option ""notarize"" is set",,,test2863_old.js,test2863_new.js
,,,claim,"If it is, it assigns the values of ""notarize"", ""notary_user"", and ""notary_password"" from the configuration to the variables ""notarize"", ""notary_user"", and ""notary_password"" respectively",,,,
,,,claim,"This suggests that the code now supports notarization, which is the process of signing and timestamping a software package for macOS.",,,,
,,,issue,"line 7, col 35, Missing semicolon.",,,,
,,,issue,"line 8, col 25, Missing semicolon.",,,,
,,,issue,"line 11, col 31, Missing semicolon.",,,,
,,,issue,"line 12, col 37, Missing semicolon.",,,,
,,,issue,"line 13, col 45, Missing semicolon.",,,,
,,,issue,"line 16, col 24, Missing semicolon.",,,,
,,,issue,"line 17, col 53, Missing semicolon.",,,,
,,,issue,"line 18, col 37, Missing semicolon.",,,,
10883,1472,"@@ -278,9 +278,7 @@ describe('src/Core', () => {
       plugins: {},
       totalProgress: 0
     })
-    expect(core.plugins.acquirer[0].mocks.uninstall.mock.calls.length).toEqual(
-      1
-    )
+    expect(core.plugins[Object.keys(core.plugins)[0]].length).toEqual(0)
   })
 
   describe('upload hooks', () => {",claim,The code change in the GIT DIFF replaces an existing line of code,,,test1472_old.js,test1472_new.js
,,,claim,The replaced line of code now checks if the length of the first plugin in the core plugins object is equal to 0,,,,
,,,claim,The original line of code checked if the length of the uninstall mock calls on the first acquirer plugin was equal to 1,,,,
,,,claim,This suggests a change in the expected state of the plugins object after the uninstall operation.,,,,
,,,issue,"line 280, col 7, Missing semicolon.",,,,
,,,issue,"line 281, col 73, Missing semicolon.",,,,
,,,issue,"line 282, col 5, Missing semicolon.",,,,
,,,issue,"line 284, col 29, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
14685,2663,"@@ -91,6 +91,7 @@ class MergeCells extends BasePlugin {
     this.autofillCalculations = new AutofillCalculations(this);
     this.selectionCalculations = new SelectionCalculations();
 
+    this.hot.selection.transformation.addLocalHook('afterTransformStart', (...args) => this.onAfterLocalTransformStart(...args));
     this.addHook('afterInit', (...args) => this.onAfterInit(...args));
     this.addHook('beforeKeyDown', (...args) => this.onBeforeKeyDown(...args));
     this.addHook('modifyTransformStart', (...args) => this.onModifyTransformStart(...args));",claim,The code change adds a new line that adds a local hook to the 'afterTransformStart' event of the selection transformation of the 'hot' object,,,test2663_old.js,test2663_new.js
,,,claim,The hook is triggered when the transformation starts and calls the 'onAfterLocalTransformStart' method with the provided arguments,,,,
,,,claim,This suggests that the code is now capable of performing some action or operation after the local transformation starts.,,,,
,,,issue,"line 94, col 76, 'rest operator' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 94, col 83, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 94, col 120, 'spread operator' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 95, col 32, 'rest operator' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 95, col 39, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 95, col 61, 'spread operator' is only available in ES6 (use 'esversion: 6').",,,,
