Code Change,Data ID,Serial No.,Review No.,Review,System,Conciseness,Comprehensiveness,"Overall Quality 
Ranking"
"""@@ -626,6 +626,8 @@ class OptionsManagerMixIn(object):
             config_file = self.config_file
         if config_file is not None:
             config_file = os.path.expanduser(config_file)
+            if not os.path.exists(config_file):
+                raise IOError(""""The config file {:s} doesn't exist!"""".format(config_file))
 
         use_config_file = config_file and os.path.exists(config_file)
         if use_config_file:""",9028,5,1,I think we should have a `PCollection` method to be able to use the same value for the same time.,Ls,3,3,5 > 2 > 1 > 3 > 4
,,,2,This method is not used in the codebase. It's a good idea to remove it.,Ma,4,3,
,,,3,nit: `pendingNumDocs` -> `numberOfPendingDocs`,Co,1,1,
,,,4,"I do no think this previous code compiled.. ""foo - bar"" is output for identifier ""foo-bar"". Ouch. The reason it passed compile check is that compile check was not deeply compiling ( -v all).",Kn,1,1,
,,,5,You don't need af ormat specified here.,Gt,4,4,
"""@@ -78,6 +78,8 @@ def autorun_get_interactive_session(cmds, **kargs):
             self.s = """"""""
         def write(self, x):
             self.s += x
+        def flush(self):
+            pass
             
     sw = StringWriter()
     sstdout,sstderr = sys.stdout,sys.stderr""",4152,6,1,Why do we need these?,Co,3,3,5 > 1 > 3 > 2 > 4
,,,2,"""This is a good addition to the code base. It will help in debugging and will make the code more robust.

The code change is adding two new exceptions: _NumCatgoriesNotSpecified and _UnknownOutput. These exceptions will be raised when the number of categories is not specified or when an unknown output is encountered, respectively. This will help in debugging and will make the code more robust.""",Ma,1,1,
,,,3,I think we should make this a more specific name.,Ls,3,1,
,,,4,this is just a precaution regarding a case where path might be empty (`bucket/`) but the split still succeeds. Another replacement might be `if '/' not in entry.rstrip('/'): ...` though the code above made more sense to me,Kn,1,1,
,,,5,"This is required, otherwise multiprocessing will (for some reason) crash",Gt,3,3,
"""@@ -106,7 +106,10 @@ def dummy_cert(privkey, cacert, commonname, sans, organization):
     cert.gmtime_adj_notBefore(-3600 * 48)
     cert.gmtime_adj_notAfter(DEFAULT_EXP_DUMMY_CERT)
     cert.set_issuer(cacert.get_subject())
-    if commonname is not None and len(commonname) < 64:
+    is_valid_commonname = (
+        commonname is not None and len(commonname) < 64
+    )
+    if is_valid_commonname:
         cert.get_subject().CN = commonname
     if organization is not None:
         cert.get_subject().O = organization""",693,7,1,Shouldn't this be `!item.getType().isRepeated()`?,Co,1,1,5 > 4 > 2 > 3 > 1
,,,2,"The terraformer images are relatively large (200+ MBs). Just to be on the safe side, should we use a bit higher timeout, for example 5 minutes?",Kn,2,2,
,,,3,I think this is not needed,Ls,1,1,
,,,4,"This is a bit of a red flag. It seems like the code is trying to handle both a non-repeated and a repeated field, which is not a good practice. It would be better to handle these cases separately.",Ma,4,4,
,,,5,"`<= 64`? I just picked up what you said in #3981 (""the CN field is limited to 64 characters"") but maybe there's something I don't know where the 64th character is needed (trailing dot or whatever?) Also this sounds like something that could be beautifully unit tested. Sorry for bugging you :grin:",Gt,4,5,
"""@@ -59,7 +59,9 @@ class ClusterParamsTest(TestCaseBase):
       self.assertGreaterEqual(encodersDict['c1']['resolution'], 0.001,
                               """"Resolution is too low"""")
 
-
+    # Ensure incorrect tmImplementation throws exception
+    with self.assertRaises(ValueError):
+        getScalarMetricWithTimeOfDayAnomalyParams([0], tmImplementation="""""""")
 
 if __name__ == '__main__':
   unittest.main()""",6835,8,1,"to check my understanding here, the reason we are using `stored_url_for_user` and accessing directly is because `after_sign_in_path_for` would delete the value?",Kn,1,1,5 > 2 > 3 > 4 > 1
,,,2,"This is a good point to check if the informer cache is synced before starting the flow aggregator. If the cache is not synced, it might lead to inconsistencies in the data.",Ma,3,4,
,,,3,I think this is a bit confusing.,Ls,1,1,
,,,4,Why do we need to wait here?,Co,1,1,
,,,5,You should also have a test that calls it with tm_cpp and make sure it returns the correct JSON file.,Gt,4,3,
"""@@ -235,11 +235,16 @@ echo """"echo '{export_forseti_vars}' >> /etc/profile.d/forseti_environment.sh"""" | s
 gsutil cp gs://{scanner_bucket}/configs/forseti_conf_server.yaml {forseti_server_conf}
 gsutil cp -r gs://{scanner_bucket}/rules {forseti_home}/
 
+# Download the Newest Config Validator constraints from GCS
+rm -rf /home/ubuntu/config_validator_constraints
+gsutil cp -r gs://{scanner_bucket}/config_validator_constraints /home/ubuntu/
+
 # Start Forseti service depends on vars defined above.
 bash ./install/gcp/scripts/initialize_forseti_services.sh
 
 echo """"Starting services.""""
 systemctl start cloudsqlproxy
+systemctl start config-validator
 sleep 5
 
 echo """"Attempting to update database schema, if necessary.""""""",8081,9,1,nit: `GetUriTagValueFromRequestUri` -> `GetUriTagValueFromRequest`,Co,1,1,2 > 3 > 5 > 1 > 4
,,,2,Will this always be started up as default? Is there any impact to the VM in terms of load and memory usage?,Gt,4,3,
,,,3,I think this is a bit more specific.,Ls,3,1,
,,,4,Can you disable useEvalMap with debugEvalScriptContext,Kn,1,1,
,,,5,"This method is not used anywhere in the codebase. It's a good idea to remove it.

The method `GetUriTagValueFromRequestUri` is a bit confusing. It's not clear what it does. It seems to be concatenating the scheme, authority, path, query, and fragment of a URI into a single string. It's not clear why this is necessary or what it's intended to be used for. It might be better to rename this method to something more descriptive.",Ma,1,1,
"""@@ -62,6 +62,9 @@ class kubernetes(luigi.Config):
     kubernetes_namespace = luigi.OptionalParameter(
         default=None,
         description=""""K8s namespace in which the job will run"""")
+    max_retrials_to_get_pods = luigi.IntParameter(
+        default=0,
+        description=""""Max retrials to get pods' informations"""")
 
 
 class KubernetesJobTask(luigi.Task):""",1960,10,1,nit: `Transports returns the transports that used by this outbound.`,Co,1,1,4 > 2 > 5 > 3 > 1
,,,2,"This is a good addition to the interface, but it's not clear what the return type should be. It's not clear what the transports are, or what the purpose of this method is. It's also not clear what the Dispatcher is, or how it's used.

It's also not clear what the purpose of this method is. It's not clear what the return type should be. It's not clear what the transports are, or what the purpose of this method is. It's also not clear what the Dispatcher is, or how it's used.",Ma,3,3,
,,,3,Shouldn't this be t.Error(spew.Sdump(actions[0])) (and similar below ?),Kn,1,1,
,,,4,"`retrials` isn't the word you intend. I think you mean `retries` and to that end, can the var name just be `max_retries`?",Gt,5,4,
,,,5,I think we should remove this.,Ls,1,1,
